"Cargo type"," (Weight)"
"11029070","1956670"
"11029090","1575000"
"1103",
"110311","23583"
"1103110020",
"11031110","253510"
"11031190",
"110319",
"11032090",
"1104","349594"
"1104000000",
"110411",
"110412","1758171.199"
"11041200",
"11041210",
"1104129",
"11041290","419994.303"
"110419",
"110422",
"110423",
"110429",
"11042951","21950000"
"11042985","8213620"
"11043090",
"110510",
"1106","18770"
"110630",
"1107",
"110710",
"11071011","4500000"
"11071019","7054600"
"11071099","128359132"
"110720",
"11072000",
"1108",
"110811",
"11081100",
"110812",
"110813","209283.46"
"11081300",
"1109",
"110900",
"11090000","6933040"
"1111",
"11111",
"111111",
"1202","151200"
"120242","50000"
"12024210",
"1204","37930"
"120400",
"12040000",
"12040010","4105750"
"12040090","23697670"
"1205","9338270"
"12051010",
"12051090",
"1205109000",
"120590",
"12059000",
"12059021",
"1206",
"12060010",
"12060099",
"1207","89708"
"120710",
"120720",
"120740",
"12074090",
"120750","4011.2"
"120760",
"120791","222768"
"12079110",
"12079190",
"120799",
"12081000","51825"
"1209","107153.4"
"120923","24050"
"120924",
"120925",
"120929","20412"
"12092950","1850000"
"120930",
"12093000",
"120999","40500"
"1211","127780.4"
"121111",
"12111100",
"121120",
"121130",
"121140",
"121190","182986.43"
"12119020",
"12119086",
"12119099",
"1212","72000"
"121221",
"121229","12100"
"1212290000",
"121292",
"121294","21084"
"12129400",
"121299","36288"
"12129941","22512"
"1213",
"121300",
"12130000",
"1214",
"121490",
"12149090","64980"
"1234",
"12345678",
"1301","16032"
"13012000",
"130190",
"1302","55440"
"130213","5356.07"
"130219","25814"
"130232","1298"
"130239",
"1330","29880"
"1342",
"1401","73885"
"140110","16220"
"140190",
"14019000",
"1402","4571"
"1404","35680"
"14049",
"140490",
"14049000","8245490"
"1404900000",
"14800",
"1501",
"150101",
"150102",
"1503",
"1504","395960"
"150400",
"150410",
"15041010",
"150420","273441.246"
"15042010",
"1504209",
"15042090","303505"
"150430",
"150500",
"1507",
"15071010",
"15071090","3404268"
"150790",
"15079090","57188"
"1508",
"150890",
"1509","250966"
"150910","106479"
"15091020","32862"
"15091080",
"150990","448126"
"1510","60914"
"151000",
"15100090","28854.36"
"1511","13166"
"15111010",
"15111090",
"151190","68748.96"
"15119011",
"15119019",
"15119020",
"15119090",
"15119091",
"1512","114400"
"15121110",
"15121990",
"1513","2340"
"15131110",
"151319","18080.384"
"15132110",
"151329",
"15132910",
"15132911","27312739"
"1514","2346135"
"151411",
"15141110",
"15141190","5440477"
"15141910",
"15141990","769516.5"
"15149110",
"15149190",
"1515","44120"
"151519",
"151529",
"151530","19560"
"15153090",
"151550",
"151590",
"15159099",
"1516","5145"
"151620","45540"
"15162095","32430460"
"1517","15753.15"
"151790",
"15179091","9849.6"
"1518","355687.024"
"151800","52000"
"15180020",
"15180095",
"1520",
"15200000",
"15503",
"1600",
"1601",
"160210",
"16024930",
"160250",
"16025095",
"1603",
"160300",
"1604","259165.19"
"160411","17416"
"16041100",
"160412",
"16041291","52847.56"
"160413","479618.24"
"16041311","55961.5"
"16041319","20519.4"
"16041390","71417.7"
"160414","137412.1"
"16041426",
"160415","33893.84"
"16041519",
"160416",
"160417",
"160419","20160"
"16041910",
"160420","51291.36"
"16042010",
"16042070",
"160432",
"1605","10580"
"160521",
"160553","119556.05"
