id,Stop_name,Stop_code,Common_code,Latitude,Longitude,Road_side,Road_number,Street,County,Parish,Village
"2577","Sprodzenieki","14023","2919","56.8224917","27.1512597","Labā","V493","","Balvu novads","Bērzpils pagasts",""
"2578","Sprodzenieki","14024","2919","56.8225195","27.1507802","Kreisā","V493","","Balvu novads","Bērzpils pagasts",""
"2579","Sproģi","14473","3779","55.7276354","26.5202656","Kreisā","V674","","Daugavpils novads","Demenes pagasts",""
"2580","Sproģi","14474","3779","55.7277238","26.5201446","Labā","V674","","Daugavpils novads","Demenes pagasts",""
"2581","Sproģi","13093","866","57.0380429","25.8097314","Kreisā","V305","","Vecpiebalgas novads","Inešu pagasts",""
"2582","Sproģi","13094","866","57.0380569","25.8096071","Labā","V305","","Vecpiebalgas novads","Inešu pagasts",""
"2583","Sprukti","14735","4084","56.4151592","27.5762392","Labā","V579","","Rēzeknes novads","Stoļerovas pagasts",""
"2584","Spuldzenieki","15854","6659","56.7561721","25.6629100","Kreisā","","","Kokneses novads","Iršu pagasts",""
"2585","Spuldzenieki","15855","6659","56.7566480","25.6626020","Labā","","","Kokneses novads","Iršu pagasts",""
"2586","Stacija Kangari","16002","6660","56.9278918","24.6434236","Kreisā","P4","","Ropažu novads","","Lielkangari"
"2587","Kangaru stacija","3333","9362","56.9407983","24.6138032","Kreisā","P10","","Ropažu novads","","Kangari"
"2588","Stabļeva","13803","2616","57.0238860","27.6514238","Labā","V459","","Viļakas novads","Šķilbēnu pagasts",""
"2589","Stabļeva","13804","2616","57.0239258","27.6508222","Kreisā","V459","","Viļakas novads","Šķilbēnu pagasts",""
"2590","Staburaga iela","15856","6664","56.5039764","25.8866835","Kreisā","P75","P75 26-32","Jēkabpils","",""
"2591","Staburaga iela","15857","6664","56.5039821","25.8857662","Labā","P75","Zīlānu iela 41","Jēkabpils","",""
"2592","Stacija","14107","3082","57.1338961","22.6502737","Labā","V1399","","Talsu novads","Virbu pagasts",""
"2593","Stacija","14108","3082","57.1339615","22.6500205","Kreisā","V1399","","Talsu novads","Virbu pagasts",""
"2594","Stacijas iela","12998","586","57.2434617","24.4019746","Kreisā","V101","Rīgas iela","Saulkrastu novads","Saulkrastu pilsēta","Saulkrasti"
"2595","Stacijas iela","12997","586","57.2440905","24.4028699","Labā","V101","Rīgas iela","Saulkrastu novads","Saulkrastu pilsēta","Saulkrasti"
"2596","Stacijas iela","12996","585","57.0444652","24.4140147","Kreisā","V46","Vidzemes šoseja","Ropažu novads","","Garkalne"
"2597","Stacijas iela","12995","585","57.0451099","24.4163765","Labā","V46","Vidzemes šoseja","Ropažu novads","","Garkalne"
"2598","Stadions","12774","9433","57.7688298","26.0115103","Labā","","Rīgas iela 52","Valkas novads","Valkas pilsēta","Valka"
"2599","Staiduļi","14631","3958","57.3653285","25.6235358","Kreisā","V298","","Raunas novads","Raunas pagasts",""
"2600","Staiduļi","14632","3958","57.3654529","25.6237284","Labā","V298","","Raunas novads","Raunas pagasts",""
"2601","Staldes","15144","5005","57.5534925","27.0396095","Kreisā","V386","","Alūksnes novads","Ziemera pagasts",""
"2602","Staldes","15145","5005","57.5535126","27.0395947","Labā","V386","","Alūksnes novads","Ziemera pagasts",""
"2603","Stancmuiža","14176","3270","57.2263224","26.8814303","Labā","V420","Brīvības iela 2","Gulbenes novads","Stāmerienas pagasts","Stāmeriena"
"2604","Stancmuiža","14177","3270","57.2264034","26.8814951","Kreisā","V420","Brīvības iela 2","Gulbenes novads","Stāmerienas pagasts","Stāmeriena"
"2605","Staņus krogs","15858","6665","56.4366926","21.6613447","Labā","P135","","Priekules novads","Priekules pagasts",""
"2606","Staupine","14689","4007","56.6583643","27.7392733","Labā","P49","","Ciblas novads","Pušmucovas pagasts",""
"2607","Staupine","14690","4007","56.6586181","27.7398433","Kreisā","P49","","Ciblas novads","Pušmucovas pagasts",""
"2608","Steivanči","15048","4880","56.6445848","27.5119909","Kreisā","V549","Rītupes iela 8","Rēzeknes novads","Bērzgales pagasts","Bērzgale"
"2609","Steivanči","15049","4880","56.6452625","27.5121021","Labā","V549","Rītupes iela 8","Rēzeknes novads","Bērzgales pagasts","Bērzgale"
"2610","Steķintava","15859","6670","57.1387042","27.2505636","Labā","","Vidzemes iela 7A","Balvu novads","Balvu pilsēta","Balvi"
